create external table petrol (districtid string, distributor string, buyratemillion string, sellratemillion string, volumeINmillioncubiclitre int,volumeOUTmillioncubiclitre int,year int) row format delimited fields terminated by ',' lines terminated by '\n' stored as textfile;

load data local inpath '/home/cloudera/Downloads/petrol' into table petrol;

1)In real life what is the total amount of petrol in volume sold by every distributor?
select distributor,SUM(volumeoutmillioncubiclitre) as from petrol group by distributor;

distributor	_c1
Bharat	83662
hindustan	71767
reliance	76558
shell	69266

2)Which are the top 10 distributors ID’s for selling petrol and also display the amount of petrol sold in volume by them individually
select districtid,volumeoutmillioncubiclitre from petrol order by volumeoutmillioncubiclitre desc limit 10;

districtid	totalvol
T1A 9W4	899
S8W 0P4	899
V8U 2T6	898
O9P 9S3	897
O8A 6Z5	897
F6W 6H3	896
M6S 1P4	895
N5Q 8E5	895
J4M 4G3	895
E6O 9P1	895

3)Find real life 10 distributor name who sold petrol in the least amount.

select districtid, volumeoutmillioncubiclitre from petrol order by volumeoutmillioncubiclitre limit 10;

districtid	volumeoutmillioncubiclitre
F4D 6K2	602
H7M 4M4	603
G9F 6U7	607
R3W 2E3	608
H4P 6A9	610
O5D 2R6	610
W0M 8R7	612
V0Z 0F6	612
O0D 0L1	612
L9H 1K6	613

4)The constraint to this query is the difference between volumeIN and volumeOuT is illegal in real life if greater than 200. 
As we see all distributors are receiving patrols on every next cycle.
List all distributors who have this difference, along with the year and the difference which they have in that year.

select districtid,year,(volumeinmillioncubiclitre-volumeoutmillioncubiclitre) as difference from petrol where (volumeinmillioncubiclitre-volumeoutmillioncubiclitre)>200 order by difference;

districtid	year	difference
M5Z 4C7	1891	201
I6U 1K6	1709	201
E7Q 2O3	1978	202
T8R 7Y2	1683	202
K1L 8T6	1838	203
O9N 4U8	1734	204
Q2Q 8W6	1965	204
K2H 1K3	1961	204
O0M 5Y1	1637	204
M5P 4M5	1975	207
Z5B 8B7	1739	207
Q7T 4K7	1884	208
A0V 7Q3	1942	209
P4O 3H2	1865	210
V6E 6M8	1830	212
Y6A 4W9	1792	212
P5Y 1A1	1691	213
J6E 6L5	1873	215
U3P 6H6	1879	216
L8E 6S8	1639	216
T0L 6I1	1902	218
B0Z 2R7	1688	219
A5Q 3H2	1742	223
I9V 9P0	1985	223
B6R 6N7	1747	224
V6A 9B9	1633	226
S8S 9C2	1989	227
U2M 9W3	1815	227
F5O 1E7	1703	228
T0U 2V6	1720	228
Q9E 7J2	1887	232
P3U 3Y9	1659	234
E8K 2E4	1686	234
T6Q 0L9	1626	234
O1F 0L8	1733	235
V5D 1L4	1905	235
X2L 3E2	1699	235
N4O 3G0	1701	237
A0I 5Q8	1756	237
N8Z 7Q8	1736	238
J5V 9M2	1859	238
A0M 0G6	1999	239
Z2G 3G5	1907	239
G3A 8D8	1632	240
R7R 7J6	1976	240
D0T 3S5	1698	240
W1B 4S1	1877	242
U6Z 9L5	1630	242
Q8L 8F7	1997	242
N9U 4X3	2013	243
I6M 4U3	2015	245
N1M 7S3	1751	246
K0X 5B5	1652	246
H8R 4A8	1972	248
J9B 4E8	1998	248
Z7E 2R9	1806	249
W3R 6P8	1801	250
J1A 7F3	1820	251
R0W 9X1	1754	253
T3V 8A0	1969	253
K9E 1R2	1642	254
M1T 1U5	1753	254
